Building,Room,Room Type,Dimensions,Area,Adjoining
EVANS,005,Quad,25.61x12.98+4*(3.04x2.43),362,
EVANS,006,Single,13.3x9.68-2.42x3.0,121,
EVANS,007,Double,16.44x13.3,219,
EVANS,008,Double,13.8x13.28,183,
EVANS,010,Quad in a Sextet,16.22x15.29+9.58x18.18+4.15x6.02+8.03x4.14+5.39x3.84+3.65x1.51,507,EVAN*011
EVANS,011,Double in a Sextet,7.12x10.64+8.2x11.75+11.75x5.36+7.49x4.33+8.62x4.63,307,EVAN*010
EVANS,017,Quad,14.52x27.28,396,
EVANS,018,Triple,19.65x15.9,312,
EVANS,019,Triple,19.5x15.39,300,
EVANS,021,Triple,17.0x17.71+14.32x3.06+2.45x2.45,351,
EVANS,106,Triple,20.55x14.52,298,
EVANS,107,Single,8.04x14.46,116,
EVANS,108,Triple,19.31x12.15,235,
EVANS,109,Triple,17.08x16.32,279,
EVANS,111,Quad,3.13x5.69+23.21x16.15+4.43x3.67,409,
EVANS,118,Double,16.57x8.57+6.91x6.08+3.41x3.09+3.9x3.19,207,
EVANS,119,Triple,19.58x13.19,258,
EVANS,120,Triple,19.53x15.67,306,
EVANS,122,Triple,8.52x5.34+18.54x17.01,361,
EVANS,200,"Triple, 2 Room",17.87x10.38+6.25x6.16,224,
EVANS,203,Triple,17.36x14,243,
EVANS,204,Triple,14.47x17.41,252,
EVANS,205,Single,9.26x16.17,150,
EVANS,207,Triple,15.19x24.13,367,
EVANS,208,Double,10.53x12.06+8.03x8.05+3.56x2.67,201,
EVANS,209,Double,15.93x11.06+3.13x8.2+6.97x2.7,221,
EVANS,211,Quad,15.92x24.64+3.98x5.12,413,
EVANS,212,Double,14.41x13.9,200,
EVANS,213,Quad,15.62x13.98,218,
EVANS,214,Quad,13.62x15.79,215,
EVANS,216,Triple,8.87x18.28+6.3x6.26,202,
EVANS,300,Triple,10.46x16.33+6.24x6.19,209,
EVANS,303,Triple,15.65x17.37,272,
EVANS,304,Triple,17.42x14.26,248,
EVANS,305,Single,9.26x16.28,151,
EVANS,307,Triple,13.82x26.26+3.96x1.47,327,
EVANS,308,Double,12.0x3.0+16.36x7.93+4.09x10.32,208,
EVANS,309,Double,6.22x7.27+11.19x16.08,225,
EVANS,311,Quad,13.81x23.2+3.88x5.24,341,
EVANS,312,Double,13.82x14.59,202,
EVANS,313,Quad,14.56x14.05,205,
EVANS,314,Quad,15.55x13.85,215,
EVANS,316,"Triple, 2 Room",10.51x15.95+7.69x6.3,216,
EVANS,400,Triple,2.91x8.02+4.58x6.24+14.16x16.75+5.22x2.61,303,
EVANS,402,Double,11.65x17.55-3.27x3.33,194,
EVANS,403,Triple,12.66x25.95-2.0x3.0,323,
EVANS,405,Double,14.72x14.19+6.22x3.07+2.91x5.81+4.29x3.6+2.58x2.78+5.92x2.68,283,
EVANS,406,"Double, Adj. Bath",2.53x2.4+5.05x2.33+14.87x11.56+2.95x6.23,208,EVAN406
EVANS,407,"Double, Adj. Bath",6.54x7.32+17.12x12.52-2.66x11.3+3.57x6.97,257,EVAN406
EVANS,411,Single,10.0x13.27+4.63x3.1,147,
EVANS,412,Quad,13.89x28.19+3.36x4.68,423,
EVANS,413,Triple,3.87x1.85+14.11x9.61+10.42x13.34+4.68x3.17,297,
EVANS,415,Triple,14.31x14.18+5.24x3.0+2.47x2.75+7.1x4.61+2.54x2.49,264,
