Building,Room,Room Type,Dimensions,Area
GOODHUE,102,Double,16.28x13.58,221
GOODHUE,103,Double,16.25x13.75,223
GOODHUE,104,Double,16.26x13.75,224
GOODHUE,105,Double,16.26x13.22,215
GOODHUE,106,Double,16.24x13.46,219
GOODHUE,112,Double,16.36x13.73,225
GOODHUE,113,Double,16.27x13.7,223
GOODHUE,114,Double,16.18x13.69,222
GOODHUE,115,Double,16.23x13.47,219
GOODHUE,117,Double,16.28x13.52,220
GOODHUE,118,Double,16.18x13.76,223
GOODHUE,119,Double,11.62x13.37+6.96x8.1,212
GOODHUE,121,Double,6.96x8.08x11.64x13.73,216
GOODHUE,122,Double,6.9x8.08+11.59x13.7,215
GOODHUE,125,Single,6.95x8.08+11.59x13.7,215
GOODHUE,126,Double,6.95x8.08+11.59x13.7,215
GOODHUE,128,Double,7x8+11.5x13.7,214
GOODHUE,130,Double,6.94x8+11.5x13.7,213
GOODHUE,132,Double,6.89x8+13.75x11,213
GOODHUE,133,Double,6.9x8+13.75x11.5,213
GOODHUE,135,Single,6.85x8+11.5x13.75,213
GOODHUE,137,Double,6.91x8.02+11.5x13.75,214
GOODHUE,139,Double,6.91x8.06+11.5x13.75,214
GOODHUE,140,Double,7x8+11.5x13.75,214
GOODHUE,201,Double,16.33x13.66,223
GOODHUE,202,Single,16.26x10.56,172
GOODHUE,203,Double,14.14x14.75,209
GOODHUE,204,Single,10.54x16.06,169
GOODHUE,205,Double,16.24x13.67,222
GOODHUE,206,Double,16.24x13.71,223
GOODHUE,207,Double,16.28x13.71,223
GOODHUE,208,Single,16.25x10.57,172
GOODHUE,209,Double,14x13.71,192
GOODHUE,214,Double,16.16x13.75,222
GOODHUE,215,Double,16.23x13.75,223
GOODHUE,216,Double,16.3x13.72,224
GOODHUE,217,Single,10.4x16.14,168
GOODHUE,218,Double,14.13x14.8,209
GOODHUE,219,Single,16.32x10.5,171
GOODHUE,220,Double,16.21x13.67,222
GOODHUE,221,Double,7x8+13.75x11.5,214
GOODHUE,223,Double,7x8+13.75x11.5,214
GOODHUE,224,Double,7x8+13.75x11.5,214
GOODHUE,227,Double,6.94x8.1+11.5x13.75,214
GOODHUE,228,Double,8.06x6.91+11.5x13.75,214
GOODHUE,230,Double,7x8+13.75x11.5,214
GOODHUE,232,Double,7x8+13.75x11.5,214
GOODHUE,235,Double,7x8+13.75x11.5,214
GOODHUE,237,Double,7x8+13.75x11.5,214
GOODHUE,239,Double,7x8+13.75x11.5,214
GOODHUE,241,Double,7x8+13.75x11.5,214
GOODHUE,242,Double,7x8+13.75x11.5,214
GOODHUE,243,Double,6.8x8+11.5x13.7,213
GOODHUE,245,Double,7x8+13.75x11.5,214
GOODHUE,301,Double,16.37x13.67,224
GOODHUE,302,Single,16.24x9.9,161
GOODHUE,303,Double,14.15x14.97,212
GOODHUE,304,Single,16.38x10.47,172
GOODHUE,305,Double,13.1x16.38,215
GOODHUE,306,Double,16.2x13.68,222
GOODHUE,307,Double,16.14x13.7,221
GOODHUE,308,Single,16.27x10.5,171
GOODHUE,309,Double,14x14.92,209
GOODHUE,314,Double,16.34x13.71,224
GOODHUE,315,Double,16.23x13.75,223
GOODHUE,316,Double,16.13x13,210
GOODHUE,317,Single,16.5x10,165
GOODHUE,318,Double,14.1x14.9,210
GOODHUE,319,Single,16.43x10.4,171
GOODHUE,320,Double,16.37x13.7,224
GOODHUE,321,Double,7x8+11.5x13.75,214
GOODHUE,323,Double,8.06x7+11.5x13.75,215
GOODHUE,324,Double,7x8+11.5x13.75,214
GOODHUE,327,Double,6.9x8+11.5x13.75,213
GOODHUE,328,Double,7x8+11.5x13.75,214
GOODHUE,330,Double,7x8+11.5x13.75,214
GOODHUE,332,Double,8.09x7+11.5x13.75,215
GOODHUE,335,Double,6.9x8+11.5x13.75,213
GOODHUE,337,Double,7x8+11.5x13.75,214
GOODHUE,339,Double,7x8+11.5x13.75,214
GOODHUE,341,Double,7x8+11.5x13.75,214
GOODHUE,342,Double,7x8+11.5x13.75,214
GOODHUE,343,Double,6.95x8+11.5x13.75,214
GOODHUE,345,Double,7x8+11.5x13.75,214
GOODHUE,401,Double,16.27x13.56,221
GOODHUE,402,Single,16.1x10.42,168
GOODHUE,403,Double,14.02x14.8,208
GOODHUE,404,Single,16.21x10.47,170
GOODHUE,405,Double,16.27x13.65,222
GOODHUE,406,Double,16.13x13.63,220
GOODHUE,407,Double,16.3x13.6,222
GOODHUE,408,Single,16.26x10.05,163
GOODHUE,409,Double,13.96x14.83,207
GOODHUE,414,Double,16.28x13.64,222
GOODHUE,415,Double,16.1x13.65,220
GOODHUE,416,Double,16.3x13.7,223
GOODHUE,417,Single,16.21x10.37,168
GOODHUE,418,Double,14.25x14.95,213
GOODHUE,419,Single,16.39x10.5,172
GOODHUE,420,Double,16.24x13.69,222
GOODHUE,421,Double,7x8+11.5x13.75,214
GOODHUE,423,Double,6.9x8+11.5x13.75,213
GOODHUE,424,Double,6.9x8+11.5x13.75,213
GOODHUE,427,Double,7x8+11.5x13.75,214
GOODHUE,428,Double,6.9x8+11.5x13.75,213
GOODHUE,430,Double,7x8+11.5x13.75,214
GOODHUE,432,Double,7x8+11.5x13.75,214
GOODHUE,435,Double,7x8+11.5x13.75,214
GOODHUE,437,Double,6.9x8+11.55x13.62,213
GOODHUE,439,Double,6.93x8.03+11.5x13.75,214
GOODHUE,441,Double,6.88x8.03+11.5x13.75,213
GOODHUE,442,Double,6.9x8+11.55x13.62,213
GOODHUE,443,Double,7x8+11.5x13.75,214
GOODHUE,445,Double,7x8+11.5x13.75,214
